rank,score,dataset_name,file_extension,size_kb,department_names,request_id,request_url,document_download_url,is_open_data_duplicate,duplicate_of,reasons
1,17,Nuru Employee Expenses Transactions  Jan 2014 to Feb. 2020.csv,csv,21.7,Public Works,20-777,https://sanfrancisco.nextrequest.com/requests/20-777,https://sanfrancisco.nextrequest.com/documents/3997868/download,false,,"expense, expenses, transactions, transaction, request-context:+4 (expense, reimbursement, records, -form), size:+2, dept:+1"
2,16,Violations_020116_Redacted.csv,csv,54706.9,Public Works,24-616,https://sanfrancisco.nextrequest.com/requests/24-616,https://sanfrancisco.nextrequest.com/documents/30404488/download,false,,"violation, violations, request-context:+4 (complaint, violation, violations, records, permits), size:+5, dept:+1"
3,14,HRC Prop Q Audit_Trend Analysis of Dept Use of Single Payments.xlsx,xlsx,23448.0,Controller,25-7557,https://sanfrancisco.nextrequest.com/requests/25-7557,https://sanfrancisco.nextrequest.com/documents/53348139/download,false,,"audit, payments, request-context:+4 (transactions, transaction, reimbursement, audit, inventory, roster, log, logs, records, vendor, contract, payments, -template, -form, -invoice, -receipt, -signature, -sample, -test, -duplicate), size:+5, dept:+1"
4,13,Tobacco_Violations_ 01012023-02282025.xlsx,xlsx,23.9,Public Health:  Tobacco and Smoking,25-1693,https://sanfrancisco.nextrequest.com/requests/25-1693,https://sanfrancisco.nextrequest.com/documents/44087351/download,false,,"violation, violations, request-context:+4 (violation, violations, records, inspections), size:+2, dept:+1"
5,13,CE Violations 12.19.2025 to 12.31.2025.xlsx,xlsx,156.7,Public Works,25-10804,https://sanfrancisco.nextrequest.com/requests/25-10804,https://sanfrancisco.nextrequest.com/documents/57360160/download,false,,"violation, violations, request-context:+4 (violation, violations, records), size:+2, dept:+1"
6,13,CE Violations 11.18.2025 to 12.18.2025.xlsx,xlsx,106.6,Public Works,25-10528,https://sanfrancisco.nextrequest.com/requests/25-10528,https://sanfrancisco.nextrequest.com/documents/57178252/download,false,,"violation, violations, request-context:+4 (violation, violations, records), size:+2, dept:+1"
7,13,violations.csv,csv,15820.0,"Public Health: Other, Public Health: Food Safety and Facilities",25-2572,https://sanfrancisco.nextrequest.com/requests/25-2572,https://sanfrancisco.nextrequest.com/documents/45403869/download,false,,"violation, violations, request-context:+2 (database, inspections, -form), size:+4, dept:+1"
8,12,"2_Blight Citations From 2009 to Nov 30, 2011.xls",xls,278.0,Public Works,24-599,https://sanfrancisco.nextrequest.com/requests/24-599,https://sanfrancisco.nextrequest.com/documents/29228123/download,false,,"citation, citations, request-context:+4 (complaint, complaints, violation, log, logs, records, permits, contract, -application), size:+3, dept:+1"
9,12,HRC Prop Q Audit_Trend Analysis of Dept Use of Prop Q.xlsx,xlsx,90689.1,Controller,25-7557,https://sanfrancisco.nextrequest.com/requests/25-7557,https://sanfrancisco.nextrequest.com/documents/53348141/download,false,,"audit, request-context:+4 (transactions, transaction, reimbursement, audit, inventory, roster, log, logs, records, vendor, contract, payments, -template, -form, -invoice, -receipt, -signature, -sample, -test, -duplicate), size:+5, dept:+1"
10,11,export-Complaint Manager-2024-08-01.xlsx,xlsx,73.4,"Public Health: Other, Public Health: Food Safety and Facilities",24-4594,https://sanfrancisco.nextrequest.com/requests/24-4594,https://sanfrancisco.nextrequest.com/documents/36711095/download,false,,"complaint, export, request-context:+4 (complaint, complaints, violation, violations, inspections), size:+2, dept:+1"
11,11,1_Unapproved incidents March 2020-March 2021.xlsx,xlsx,576.7,Public Works,22-6598,https://sanfrancisco.nextrequest.com/requests/22-6598,https://sanfrancisco.nextrequest.com/documents/16765309/download,false,,"incident, incidents, request-context:+3 (overtime), size:+3, dept:+1"
12,11,Complaint Manager-2026-07-02.xlsx,xlsx,545.5,"Public Health: Other, Public Health: Housing Violations/Vector Control/Lead",26-5533,https://sanfrancisco.nextrequest.com/requests/26-5533,https://sanfrancisco.nextrequest.com/documents/66279753/download,false,,"complaint, request-context:+4 (complaint, complaints, violation, violations, citation, records, -form), size:+3, dept:+1"
13,11,citation report 01012014 to 05312024_REDACTED.xlsx,xlsx,5810.0,Public Works,24-3249,https://sanfrancisco.nextrequest.com/requests/24-3249,https://sanfrancisco.nextrequest.com/documents/35197387/download,false,,"citation, request-context:+4 (violation, violations, citation, citations, database, records, -form, -copy), size:+4, dept:+1"
14,11,Supplier Payments (6).xlsx,xlsx,3206.7,Controller,26-2263,https://sanfrancisco.nextrequest.com/requests/26-2263,https://sanfrancisco.nextrequest.com/documents/61498626/download,false,,"payments, request-context:+4 (export, records, vendor, payments, -form), size:+4, dept:+1"
15,11,Inspections_020116.csv,csv,28361.4,Public Works,24-616,https://sanfrancisco.nextrequest.com/requests/24-616,https://sanfrancisco.nextrequest.com/documents/29866332/download,false,,"inspections, request-context:+4 (complaint, violation, violations, records, permits), size:+5, dept:+1"
