filer_name,office,body,seat
"Lurie, Daniel",Mayor,Citywide,Mayor
"Chiu, David",City Attorney,Citywide,City Attorney
"Jenkins, Brooke",District Attorney,Citywide,District Attorney
"Raju, Manohar",Public Defender,Citywide,Public Defender
"Torres, Joaquin",Assessor-Recorder,Citywide,Assessor-Recorder
"Cisneros, Jose",Treasurer & Tax Collector,Citywide,Treasurer
"Miyamoto, Paul",Sheriff,Citywide,Sheriff
"Chan, Connie",Supervisor,Board of Supervisors,D1
"Sherrill, Stephen",Supervisor,Board of Supervisors,D2
"Sauter, Danny",Supervisor,Board of Supervisors,D3
"Wong, Alan",Supervisor,Board of Supervisors,D4
"Mahmood, Bilal",Supervisor,Board of Supervisors,D5
"Dorsey, Matthew",Supervisor,Board of Supervisors,D6
"Melgar, Myrna",Supervisor,Board of Supervisors,D7
"Mandelman, Rafael",Supervisor,Board of Supervisors,D8
"Fielder, Jackie",Supervisor,Board of Supervisors,D9
"Walton, Shamann",Supervisor,Board of Supervisors,D10
"Chen, Chyanne",Supervisor,Board of Supervisors,D11
"Kim, Phil",Commissioner,Board of Education,President
"Huling Delaye, Jaime",Commissioner,Board of Education,Vice President
"Alexander, Matt",Commissioner,Board of Education,Commissioner
"Fisher, Alida",Commissioner,Board of Education,Commissioner
"Gupta, Parag",Commissioner,Board of Education,Commissioner
"Ray, Supryia",Commissioner,Board of Education,Commissioner
"Weissman-Ward, Lisa",Commissioner,Board of Education,Commissioner
"Chisti, Aliya",Trustee,Community College Board,President
"Zamora, Luis",Trustee,Community College Board,Vice President
"Chung, Vick",Trustee,Community College Board,Trustee
"Ferguson, Ruth",Trustee,Community College Board,Trustee
"Martinez, Anita",Trustee,Community College Board,Trustee
"McCarty, Heather",Trustee,Community College Board,Trustee
"Solomon, Susan",Trustee,Community College Board,Trustee
