filer_name,office,body,seat,confidence,note
"Lediju, Tonia",Chief Executive Officer,Housing & Homelessness,Housing Authority,verified,SFHA chief executive
"Adams, Dan",Director,Housing & Homelessness,Mayor's Office of Housing (MOHCD),verified,"appointed MOHCD director Jan 2024; files under Housing Authority"
"Levine, Mike",Executive Director,Housing & Homelessness,Homelessness & Supportive Housing,self-reported,
"Short, Carla",Director,Infrastructure & Transport,Public Works,self-reported,
"Herrera, Dennis",General Manager,Infrastructure & Transport,Public Utilities Commission,verified,former City Attorney; now SFPUC general manager
"Jue, Tyrone",Executive Director,Infrastructure & Transport,Environment,self-reported,
"Chang, Doris",Executive Director,Infrastructure & Transport,County Transportation Authority,verified,"files as Doris Chang; publicly known as Tilly Chang"
"Kirschbaum, Julie",Director,Infrastructure & Transport,Municipal Transportation Agency,self-reported,
"Forbes, Elaine",Executive Director,Infrastructure & Transport,Port of San Francisco,self-reported,
"Nakornkhet, Mike",Director,Infrastructure & Transport,Airport,self-reported,
"Hillis, Richard",Director,Infrastructure & Transport,Planning,self-reported,
"Lew, Derrick",Chief of Police,Public Safety & Justice,Police Department,verified,appointed by Mayor Lurie Dec 2025
"Crispen, Dean",Fire Chief,Public Safety & Justice,Fire Department,self-reported,
"Henderson, Paul",Director,Public Safety & Justice,Police Accountability,self-reported,
"Miller, Katherine",Chief Probation Officer,Public Safety & Justice,Juvenile Probation,self-reported,
"Carroll, Mary Ellen",Executive Director,Public Safety & Justice,Emergency Management,self-reported,
"Tsai, Daniel",Director,Health & Human Services,Public Health,self-reported,
"Guillen, Rey",Director,Health & Human Services,Health Service System,self-reported,
"Dearman, Kelly",Director,Health & Human Services,Disability & Aging Services,self-reported,
"Roye, Karen",Director,Health & Human Services,Child Support Services,self-reported,
"Johnston, Jennifer",Executive Director,Administration,Civil Service Commission,self-reported,"also deputy city administrator; 2 consecutive filings agree"
"Makstman, Michael",Director,Administration,Department of Technology,self-reported,
"Varner, Christina",Executive Director,Administration,Rent Board,self-reported,
"Kaslofsky, Thurston",Executive Director,Administration,Office of Community Investment & Infrastructure,self-reported,
"Samarrae, Khalid",Executive Officer,Administration,Local Agency Formation Commission,self-reported,
"Phillips, Sarah",Executive Director,Administration,Economic & Workforce Development,self-reported,
"Lambert, Michael",City Librarian,Culture & Education,Public Library,self-reported,
"Su, Maria",Superintendent,Culture & Education,SF Unified School District,verified,SFUSD superintendent
"Bailey, Mitchell",Chancellor,Culture & Education,City College of San Francisco,self-reported,
"Campbell, Thomas",Director,Culture & Education,Fine Arts Museums,self-reported,
"Fata, Mani",Executive Director,Culture & Education,Film Commission,self-reported,
"Ginsburg, Philip",General Manager,Culture & Education,Recreation & Park,verified,long-serving Rec & Park general manager
