entity_or_source,ticker,asset_type,include,note
"Apple, Inc",AAPL,stock,yes,
Apple,AAPL,stock,yes,
Apple INC,AAPL,stock,yes,
Herc Holdings Inc,HRI,stock,yes,
Salesforce,CRM,stock,yes,
Moocho,,private,no,private internet company
Cibus II,,private_fund,no,private agriculture investment fund
Transdigm,TDG,stock,yes,
Cummins,CMI,stock,yes,
CVC Capital Partners VII,,private_fund,no,private equity fund
Nextera,NEE,stock,yes,
Enterprise Product Partners,EPD,stock,yes,MLP
Amazon,AMZN,stock,yes,
M&T Bank,MTB,stock,yes,
Skye Global,,private_fund,no,hedge fund
Meta,META,stock,yes,
Ares Special Opportunities Fund II,,private_fund,no,credit fund
Further,,private,no,private internet company
Paypal,PYPL,stock,yes,
Merck,MRK,stock,yes,
Blackstone Real Estate Partners Europe V,,private_fund,no,real estate fund
MBN Brands,,private,no,private investment company
Proctor and Gamble,PG,stock,yes,filer misspelling of Procter & Gamble
Disney,DIS,stock,yes,
Mohawk,MHK,stock,yes,Mohawk Industries (flooring); filer described it as construction equipment
Mighty Squirrel,,private,no,private beverage company
Seven Springs Partners,,private_fund,no,dementia care fund
Thor Industries,THO,stock,yes,
PE Premier Oaktree XI,,private_fund,no,credit fund
Brookfield Oaktree,,ambiguous,no,"AMBIGUOUS: Oaktree common units went private in 2019; could be BN, BAM, or OAK preferreds. Excluded pending review."
Truist Financial,TFC,stock,yes,
Ares Special Opportunities Fund,,private_fund,no,credit fund
Cibus I,,private_fund,no,private agriculture investment fund
Simplifeye,,private,no,private internet company
Home Depot,HD,stock,yes,
Bridge Debt Strategies III,,private_fund,no,real estate debt fund
Rumpl,,private,no,private home goods company
Spoiler Alert,,private,no,private food company
H&E Equipment,HEES,delisted,no,"acquired by Herc Holdings in 2025; Yahoo has no history for the delisted symbol. Note the filer also holds HRI, the acquirer."
Best Day Brewing,,private,no,private food company
BevSpot,,private,no,private internet company
RealTech,,private,no,private real estate company
Oaktree Specialty Lending,OCSL,stock,yes,BDC
Compass Pathways,CMPS,stock,yes,
Alphabet,GOOGL,stock,yes,
Microsoft,MSFT,stock,yes,
Rebecca Allen,,private,no,private home goods company
Berkshire Hathaway,BRK-B,stock,yes,class B assumed
Shopify,SHOP,stock,yes,
Bamboo,,private,no,private marketing company
CRH,CRH,stock,yes,
Medtronic,MDT,stock,yes,
Contenda,,private,no,private technology company
"SpotMap, Inc.",,private,no,private technology company
"Amplitude, Inc.",AMPL,stock,yes,
"Gamma Tech, Inc.",,private,no,private technology company
Bitcoin,,crypto,no,out of scope - listed equities and ETFs only
NVIDIA Corp,NVDA,stock,yes,
iShares Global Clean Energy ETF,ICLN,etf,yes,
TQQQ,TQQQ,etf,yes,3x leveraged Nasdaq-100 ETF
V.F. CORPEORATION,VFC,stock,yes,filer misspelling of V.F. Corporation
Delta Airline,DAL,stock,yes,
UNITED AIRLINE,UAL,stock,yes,
ZEVENBERGEN GENEA IVESTOR,ZVGNX,mutual_fund,no,"filer misspelling of Zevenbergen Genea Fund Investor Class; Yahoo serves a live quote but no history at any range, so no return can be computed"
Hero Shop,,private,no,private retail shop
Argent Mill,,private,no,private apparel company
Storr (dba Badge),,private,no,private technology company
Riveter,,private,no,private technology company
Caraway (formerly Parfait Kitchen),,private,no,private consumer goods company
Amgen Inc,AMGN,stock,yes,
Thermo Fisher Scientific Inc,TMO,stock,yes,
Blackstone Inc.,BX,stock,yes,
Nike Inc-Class B,NKE,stock,yes,
Procter & Gamble Co,PG,stock,yes,
"Q5iD, Inc.",,private,no,private identity-verification company
Vertex Pharmaceuticals Inc,VRTX,stock,yes,
Abbott Labs,ABT,stock,yes,
Alphabet Inc Cl A,GOOGL,stock,yes,
Doordash Inc,DASH,stock,yes,IPO Dec 2020
Constellation Brands Inc,STZ,stock,yes,
Costco Wholesale Corp New,COST,stock,yes,
Microsoft Corp,MSFT,stock,yes,
Accenture Plc Cl A,ACN,stock,yes,
Cisco Systems Inc,CSCO,stock,yes,
Johnson & Johnson,JNJ,stock,yes,
American Tower Corp Reit,AMT,stock,yes,REIT
Amazon.Com Inc,AMZN,stock,yes,
Visa Inc Cl A,V,stock,yes,
Uber Technologies Inc.,UBER,stock,yes,
Morgan Stanley,MS,stock,yes,
Blackrock Inc Cl A,BLK,stock,yes,
Agilent Technologies Inc,A,stock,yes,
Jp Morgan Chase & Co,JPM,stock,yes,
Comcast Corp-Cl A,CMCSA,stock,yes,
Ares Capital Corp,ARCC,stock,yes,BDC
Tesla Inc,TSLA,stock,yes,
Cbre Group Inc,CBRE,stock,yes,
Constellation Energy Corp,CEG,stock,yes,spun off from Exelon Feb 2022 - no 5y history
Union Pac Corp,UNP,stock,yes,
Micron Technology Inc,MU,stock,yes,
Chubb Ltd,CB,stock,yes,
Lilly Eli & Co,LLY,stock,yes,
Builders Firstsource Inc,BLDR,stock,yes,
American Water Works Co Inc,AWK,stock,yes,
Starbucks Corp,SBUX,stock,yes,
Adobe Inc,ADBE,stock,yes,
Cadence Design Systems Inc,CDNS,stock,yes,
Unitedhealth Group Inc,UNH,stock,yes,
Roper Technologies Inc,ROP,stock,yes,
Janus Henderson Aaa Clo Etf,JAAA,etf,yes,"CLO ETF, launched Oct 2020"
Apple Inc,AAPL,stock,yes,
Autozone Inc.,AZO,stock,yes,
Home Depot Inc,HD,stock,yes,
Exelon Corp,EXC,stock,yes,
Xylem Inc-W/I,XYL,stock,yes,
Mastercard Inc Cl A,MA,stock,yes,
Digital Realty Trust Inc Reit,DLR,stock,yes,REIT
TJX Cos Inc,TJX,stock,yes,
Autodesk Inc,ADSK,stock,yes,
Nvidia Corp.,NVDA,stock,yes,
Merck & Co Inc,MRK,stock,yes,
Abbvie Inc,ABBV,stock,yes,
Nextera Energy Inc,NEE,stock,yes,
Comfort Systems USA Inc.,FIX,stock,yes,
Target Corp,TGT,stock,yes,
Rubrik Inc,RBRK,stock,yes,IPO Apr 2024 - no 5y history
Viking Holdings Inc,VIK,stock,yes,IPO May 2024 - no 5y history
GE Aerospace,GE,stock,yes,GE post-breakup
Dutch Bros Inc,BROS,stock,yes,IPO Sep 2021
Alphabet Inc,GOOGL,stock,yes,
"Chipotle Mexican Grill, Inc.",CMG,stock,yes,
Deckers Outdoor Inc,DECK,stock,yes,
Concentra Group Holdings,CON,stock,yes,IPO Jul 2024 - no 5y history
Moderna Inc,MRNA,stock,yes,
GE Vernova,GEV,stock,yes,spun off from GE Apr 2024 - no 5y history
"Williams-Sonoma, Inc.",WSM,stock,yes,
SPDR S&P 500 ETF,SPY,etf,yes,this is the benchmark itself
ARMOUR Residential REIT,ARR,stock,yes,mortgage REIT
Ecopetrol S A ADR,EC,stock,yes,Colombian ADR
Nintendo LTD,NTDOY,stock,yes,ADR
